,0
330,"Geraldo at Large : FOXNEWS : May 1, 2011 10:00pm-11:00pm EDT"
331,"Red Eye : FOXNEWS : July 6, 2009 12:00am-1:00am EDT"
332,"America's Newsroom : FOXNEWS : January 7, 2011 9:00am-11:00am EST"
333,"FOX and Friends Saturday : FOXNEWS : August 8, 2009 7:00am-10:00am EDT"
334,"Red Eye : FOXNEWS : October 22, 2010 2:00am-3:00am EST"
335,"The O'Reilly Factor : FOXNEWS : October 7, 2011 8:00pm-9:00pm EDT"
336,"The FOX Report With Shepard Smith : FOXNEWS : September 4, 2009 7:00pm-7:00pm EDT"
337,"FOX and Friends Sunday : FOXNEWS : May 9, 2010 7:00am-9:19am EDT"
338,"FOX and Friends : FOXNEWS : August 19, 2010 6:00am-9:00am EDT"
339,"The O'Reilly Factor : FOXNEWS : November 2, 2010 10:00pm-11:00pm EST"
340,"The O'Reilly Factor : FOXNEWS : November 5, 2011 5:00am-6:00am EDT"
341,"America's News HQ : FOXNEWS : July 4, 2009 12:00pm-2:00pm EDT"
342,"Hannity : FOXNEWS : October 25, 2010 3:00am-4:00am EDT"
343,"Happening Now : FOXNEWS : October 12, 2011 11:00am-1:00pm EDT"
344,"The FOX Report With Shepard Smith : FOXNEWS : October 1, 2009 7:00pm-8:00pm EDT"
345,"America's News HQ : FOXNEWS : April 10, 2011 10:00am-12:00pm EDT"
346,"Red Eye : FOXNEWS : November 1, 2011 3:00am-4:00am EDT"
347,"Geraldo at Large : FOXNEWS : December 9, 2012 1:00am-2:00am EST"
348,"America's Election HQ : FOXNEWS : November 2, 2010 7:00pm-8:00pm EST"
349,"FOX and Friends : FOXNEWS : December 8, 2010 6:00am-9:00am EST"
350,"FOX and Friends : FOXNEWS : July 9, 2009 6:00am-9:00am EDT"
351,"The O'Reilly Factor : FOXNEWS : July 17, 2009 8:00pm-9:00pm EDT"
352,"FOX and Friends Saturday : FOXNEWS : September 12, 2009 7:00am-10:00am EDT"
353,"Special Report With Bret Baier : FOXNEWS : December 18, 2009 6:00pm-7:00pm EST"
354,"Happening Now : FOXNEWS : October 3, 2011 11:00am-1:00pm EDT"
355,"America's News Headquarters : FOXNEWS : November 6, 2011 10:00am-12:00pm EST"
356,"FOX and Friends : FOXNEWS : December 13, 2011 6:00am-9:00am EST"
357,"The O'Reilly Factor : FOXNEWS : July 2, 2009 8:00pm-9:00pm EDT"
358,"Bulls and Bears : FOXNEWS : October 30, 2010 9:00am-9:30am EST"
359,"FOX Report : FOXNEWS : January 1, 2012 7:00pm-8:00pm EST"
360,"The O'Reilly Factor : FOXNEWS : September 30, 2009 5:00am-5:51am EDT"
361,"America Live : FOXNEWS : October 21, 2011 1:00pm-3:00pm EDT"
362,"Happening Now : FOXNEWS : January 2, 2012 11:00am-1:00pm EST"
363,"Geraldo at Large : FOXNEWS : January 20, 2013 1:00am-2:00am EST"
364,"Happening Now : FOXNEWS : July 7, 2009 11:00am-1:00pm EDT"
365,"Your World With Neil Cavuto : FOXNEWS : October 28, 2011 4:00pm-5:00pm EDT"
366,"America's Newsroom : FOXNEWS : November 3, 2011 9:00am-11:00am EDT"
367,"Hannity : FOXNEWS : October 20, 2011 12:00am-1:00am EDT"
368,"America's News Headquarters : FOXNEWS : October 15, 2011 4:00pm-6:00pm EDT"
369,"America Live : FOXNEWS : October 19, 2011 1:00pm-3:00pm EDT"
370,"America's News HQ : FOXNEWS : April 3, 2010 12:00pm-2:00pm EDT"
371,"The FOX Report With Shepard Smith : FOXNEWS : November 9, 2010 7:00pm-8:00pm EST"
372,"Studio B With Shepard Smith : FOXNEWS : December 31, 2010 3:00pm-4:00pm EST"
373,"FOX and Friends : FOXNEWS : November 1, 2011 6:00am-9:00am EDT"
374,"Happening Now : FOXNEWS : March 11, 2010 11:00am-1:00pm EST"
375,"Glenn Beck : FOXNEWS : December 5, 2010 5:00am-6:00am EST"
376,"The O'Reilly Factor : FOXNEWS : November 4, 2011 8:00pm-9:00pm EDT"
377,"FOX and Friends : FOXNEWS : October 14, 2011 6:00am-9:00am EDT"
378,"Stossel : FOXNEWS : October 15, 2011 10:00pm-11:00pm EDT"
379,"FOX and Friends : FOXNEWS : April 12, 2011 6:00am-9:00am EDT"
380,"Happening Now : FOXNEWS : April 12, 2011 11:00am-1:00pm EDT"
381,"The O'Reilly Factor : FOXNEWS : July 20, 2012 4:00am-5:00am EDT"
382,"The O'Reilly Factor : FOXNEWS : August 10, 2012 11:00pm-12:00am EDT"
383,"Greta Van Susteren : FOXNEWS : November 3, 2009 10:00pm-11:00pm EST"
384,"America Live : FOXNEWS : August 17, 2010 1:00pm-3:00pm EDT"
385,"The O'Reilly Factor : FOXNEWS : October 21, 2011 5:00am-6:00am EDT"
386,"Special Report With Bret Baier : FOXNEWS : October 26, 2011 4:00am-5:00am EDT"
387,"Hannity : FOXNEWS : July 3, 2009 12:15am-1:00am EDT"
388,"FOX Report : FOXNEWS : November 14, 2010 7:00pm-8:00pm EST"
389,"FOX and Friends : FOXNEWS : April 5, 2011 6:00am-9:00am EDT"
390,"Special Report With Bret Baier : FOXNEWS : October 11, 2011 6:00pm-7:00pm EDT"
391,"America's News HQ : FOXNEWS : February 27, 2010 12:00pm-2:00pm EST"
392,"FOX and Friends : FOXNEWS : May 14, 2010 6:00am-9:00am EDT"
393,"FOX News Sunday With Chris Wallace : FOXNEWS : October 31, 2010 5:00pm-6:00pm EST"
394,"FOX and Friends : FOXNEWS : April 11, 2011 6:00am-9:00am EDT"
395,"The Live Desk : FOXNEWS : August 5, 2009 1:00pm-3:00pm EDT"
396,"FOX News Watch : FOXNEWS : June 12, 2010 2:30pm-3:00pm EDT"
397,"Special Report With Bret Baier : FOXNEWS : October 5, 2011 6:00pm-7:00pm EDT"
398,"America's News Headquarters : FOXNEWS : October 9, 2011 12:00pm-2:00pm EDT"
399,"Hannity : FOXNEWS : October 8, 2012 1:00am-2:00am EDT"
400,"The O'Reilly Factor : FOXNEWS : August 22, 2013 4:00am-5:00am EDT"
401,"Happening Now : FOXNEWS : September 3, 2009 11:00am-1:00pm EDT"
402,"FOX and Friends Saturday : FOXNEWS : October 22, 2011 6:00am-10:00am EDT"
403,"Stossel : FOXNEWS : August 4, 2012 10:00pm-11:00pm EDT"
404,"FOX and Friends Saturday : FOXNEWS : August 22, 2009 7:00am-10:00am EDT"
405,"FOX and Friends : FOXNEWS : January 1, 2010 6:00am-10:00am EST"
406,"Red Eye : FOXNEWS : December 1, 2010 3:00am-4:00am EST"
407,"FOX and Friends : FOXNEWS : December 22, 2010 6:00am-9:00am EST"
408,"Studio B With Shepard Smith : FOXNEWS : April 8, 2011 3:00pm-4:00pm EDT"
409,"America's News HQ : FOXNEWS : July 4, 2009 4:00pm-5:00pm EDT"
410,"America Live : FOXNEWS : October 20, 2011 1:00pm-3:00pm EDT"
411,"FOX and Friends : FOXNEWS : October 27, 2011 6:00am-9:00am EDT"
412,"The O'Reilly Factor : FOXNEWS : August 13, 2013 4:00am-5:00am EDT"
413,"Special Report With Bret Baier : FOXNEWS : July 3, 2009 6:00pm-7:00pm EDT"
414,"FOX and Friends Saturday : FOXNEWS : August 1, 2009 7:00am-10:00am EDT"
415,"Greta Van Susteren : FOXNEWS : October 10, 2009 1:00am-2:00am EDT"
416,"FOX and Friends Sunday : FOXNEWS : April 18, 2010 7:00am-10:00am EDT"
417,"Studio B With Shepard Smith : FOXNEWS : September 8, 2010 3:00pm-4:00pm EDT"
418,"Happening Now : FOXNEWS : October 14, 2010 11:00am-1:00pm EDT"
419,"Special Report With Bret Baier : FOXNEWS : October 1, 2011 4:00am-5:00am EDT"
420,"The Five : FOXNEWS : November 4, 2011 2:00am-3:00am EDT"
421,"Your World With Neil Cavuto : FOXNEWS : June 26, 2012 4:00pm-5:00pm EDT"
422,"FOX News Watch : FOXNEWS : September 16, 2012 3:30pm-3:47pm EDT"
423,"The O'Reilly Factor : FOXNEWS : July 21, 2009 5:00am-6:00am EDT"
424,"Hannity : FOXNEWS : October 1, 2011 3:00pm-4:00pm EDT"
425,"Hannity : FOXNEWS : October 17, 2011 9:00pm-10:00pm EDT"
426,"FOX News Sunday With Chris Wallace : FOXNEWS : October 23, 2011 9:00pm-10:00pm EDT"
427,"FOX and Friends First : FOXNEWS : June 20, 2012 5:00am-6:00am EDT"
428,"America's News HQ : FOXNEWS : July 5, 2009 10:00am-10:30am EDT"
429,"America's News HQ : FOXNEWS : October 10, 2009 12:00pm-2:00pm EDT"
430,"FOX and Friends : FOXNEWS : December 31, 2009 6:00am-9:00am EST"
431,"Happening Now : FOXNEWS : April 15, 2011 11:00am-1:00pm EDT"
432,"The Journal Editorial Report : FOXNEWS : October 15, 2011 11:00pm-11:30pm EDT"
433,"America's News Headquarters : FOXNEWS : October 22, 2011 12:00pm-1:00pm EDT"
434,"FOX and Friends : FOXNEWS : July 8, 2009 6:00am-9:00am EDT"
435,"The FOX Report With Shepard Smith : FOXNEWS : September 30, 2009 7:00pm-8:00pm EDT"
436,"FOX and Friends : FOXNEWS : December 24, 2009 8:00pm-10:00pm EST"
437,"Happening Now : FOXNEWS : January 7, 2010 11:00am-1:00pm EST"
438,"FOX and Friends Sunday : FOXNEWS : March 21, 2010 7:00am-10:00am EDT"
439,"Happening Now : FOXNEWS : July 8, 2010 11:00am-1:00pm EDT"
440,"Red Eye : FOXNEWS : October 9, 2011 2:00am-3:00am EDT"
441,"Studio B With Shepard Smith : FOXNEWS : September 21, 2009 3:00pm-4:00pm EDT"
442,"Red Eye : FOXNEWS : December 6, 2009 12:00am-1:00am EST"
443,"Happening Now : FOXNEWS : August 4, 2010 11:00am-1:00pm EDT"
444,"The FOX Report With Shepard Smith : FOXNEWS : January 12, 2011 7:00pm-8:00pm EST"
445,"Red Eye : FOXNEWS : June 25, 2011 3:00am-4:00am EDT"
446,"The O'Reilly Factor : FOXNEWS : October 13, 2011 11:00pm-12:00am EDT"
447,"The O'Reilly Factor : FOXNEWS : October 14, 2011 5:00am-6:00am EDT"
448,"Geraldo at Large : FOXNEWS : October 16, 2011 5:00am-6:00am EDT"
449,"The Five : FOXNEWS : January 2, 2012 5:00pm-6:00pm EST"
450,"Happening Now : FOXNEWS : January 30, 2012 11:00am-1:00pm EST"
451,"Glenn Beck : FOXNEWS : September 29, 2009 5:00pm-6:00pm EDT"
452,"Red Eye : FOXNEWS : December 20, 2009 12:00am-1:00am EST"
453,"America's Newsroom : FOXNEWS : January 1, 2010 10:00am-1:00pm EST"
454,"Red Eye : FOXNEWS : June 25, 2010 3:00am-4:00am EDT"
455,"The O'Reilly Factor : FOXNEWS : November 2, 2011 8:00pm-9:00pm EDT"
456,"Happening Now : FOXNEWS : December 29, 2011 11:00am-1:00pm EST"
457,"Happening Now : FOXNEWS : July 5, 2012 11:00am-1:00pm EDT"
458,"America's News HQ : FOXNEWS : August 1, 2010 10:00am-12:00pm EDT"
459,"FOX and Friends : FOXNEWS : September 30, 2011 6:00am-9:00am EDT"
460,"The O'Reilly Factor : FOXNEWS : September 30, 2011 8:00pm-9:00pm EDT"
461,"Happening Now : FOXNEWS : July 2, 2012 11:00am-1:00pm EDT"
462,"Happening Now : FOXNEWS : July 19, 2012 11:00am-1:00pm EDT"
463,"Red Eye : FOXNEWS : August 22, 2009 3:00am-4:00am EDT"
464,"FOX and Friends Sunday : FOXNEWS : August 8, 2010 7:00am-10:00am EDT"
465,"Red Eye : FOXNEWS : November 5, 2011 3:00am-4:00am EDT"
466,"Geraldo at Large : FOXNEWS : August 18, 2013 1:00am-2:00am EDT"
467,"Red Eye : FOXNEWS : July 13, 2009 12:00am-1:00am EDT"
468,"The Journal Editorial Report : FOXNEWS : January 2, 2010 11:00pm-11:30pm EST"
469,"America's News HQ : FOXNEWS : January 8, 2011 12:00pm-2:00pm EST"
470,"Happening Now : FOXNEWS : January 13, 2011 11:00am-1:00pm EST"
471,"Glenn Beck : FOXNEWS : March 11, 2011 5:00pm-6:00pm EST"
472,"The Five : FOXNEWS : October 12, 2011 5:00pm-6:00pm EDT"
473,"America's Election Headquarters : FOXNEWS : November 7, 2012 2:00am-5:00am EST"
474,"FOX and Friends : FOXNEWS : July 13, 2009 6:00am-9:00am EDT"
475,"FOX News Sunday With Chris Wallace : FOXNEWS : October 23, 2011 2:00pm-3:00pm EDT"
476,"Greta Van Susteren : FOXNEWS : October 26, 2011 1:00am-2:00am EDT"
477,"Happening Now : FOXNEWS : February 16, 2010 11:00am-1:00pm EST"
478,"FOX News Sunday With Chris Wallace : FOXNEWS : December 12, 2010 2:00pm-3:00pm EST"
479,"Stossel : FOXNEWS : October 2, 2011 1:00am-2:00am EDT"
480,"FOX and Friends : FOXNEWS : October 20, 2011 6:00am-9:00am EDT"
481,"America's News Headquarters : FOXNEWS : October 16, 2011 3:00pm-4:00pm EDT"
482,"Hannity : FOXNEWS : July 3, 2009 12:00am-12:15am EDT"
483,"FOX and Friends : FOXNEWS : July 23, 2009 6:00am-9:00am EDT"
484,"America's News HQ : FOXNEWS : February 28, 2010 4:00pm-6:00pm EST"
485,"FOX and Friends : FOXNEWS : August 20, 2010 6:00am-9:00am EDT"
486,"Red Eye : FOXNEWS : October 8, 2011 3:00am-4:00am EDT"
487,"Greta Van Susteren : FOXNEWS : November 4, 2011 10:00pm-11:00pm EDT"
488,"FOX and Friends Saturday : FOXNEWS : July 11, 2009 7:00am-10:00am EDT"
489,"Happening Now : FOXNEWS : October 4, 2010 11:00am-1:00pm EDT"
490,"Hannity : FOXNEWS : September 29, 2011 12:00am-1:00am EDT"
491,"Forbes on FOX : FOXNEWS : March 10, 2012 11:00am-11:30am EST"
492,"Studio B With Shepard Smith : FOXNEWS : September 11, 2009 3:00pm-4:00pm EDT"
493,"Special Report With Bret Baier : FOXNEWS : October 1, 2009 4:00am-5:00am EDT"
494,"FOX News Watch : FOXNEWS : October 22, 2011 2:30pm-3:00pm EDT"
495,"America Live : FOXNEWS : October 26, 2011 1:00pm-3:00pm EDT"
496,"Special Report With Bret Baier : FOXNEWS : November 3, 2011 6:00pm-7:00pm EDT"
497,"Hannity : FOXNEWS : September 12, 2009 12:11am-1:00am EDT"
498,"Huckabee : FOXNEWS : January 24, 2010 8:00pm-9:00pm EST"
499,"FOX Report : FOXNEWS : October 31, 2010 6:00pm-7:00pm EST"
500,"Greta Van Susteren : FOXNEWS : October 15, 2011 1:00am-2:00am EDT"
501,"Greta Van Susteren : FOXNEWS : November 7, 2011 10:00pm-11:00pm EST"
502,"The O'Reilly Factor : FOXNEWS : November 5, 2009 8:00pm-9:00pm EST"
503,"Red Eye : FOXNEWS : October 2, 2010 3:00am-4:00am EDT"
504,"The O'Reilly Factor : FOXNEWS : November 1, 2011 11:00pm-12:00am EDT"
505,"Red Eye : FOXNEWS : November 6, 2011 1:00am-1:00am EDT"
506,"Forbes on FOX : FOXNEWS : July 4, 2009 11:00am-11:30am EDT"
507,"America's Newsroom : FOXNEWS : July 6, 2009 9:00am-11:00am EDT"
508,"America's News HQ : FOXNEWS : July 11, 2009 12:00pm-2:00pm EDT"
509,"Happening Now : FOXNEWS : November 12, 2010 11:00am-1:00pm EST"
510,"The O'Reilly Factor : FOXNEWS : April 6, 2011 5:00am-6:00am EDT"
511,"Hannity : FOXNEWS : November 1, 2011 12:00am-1:00am EDT"
512,"FOX and Friends : FOXNEWS : November 3, 2011 6:00am-9:00am EDT"
513,"FOX and Friends Sunday : FOXNEWS : June 13, 2010 7:00am-10:00am EDT"
514,"Geraldo at Large : FOXNEWS : July 17, 2010 10:00pm-11:00pm EDT"
515,"America's News HQ : FOXNEWS : January 8, 2011 4:00pm-6:00pm EST"
516,"Happening Now : FOXNEWS : April 13, 2011 11:00am-1:00pm EDT"
517,"FOX and Friends : FOXNEWS : April 20, 2011 6:00am-9:00am EDT"
518,"Special Report With Bret Baier : FOXNEWS : October 21, 2011 6:00pm-7:00pm EDT"
519,"FOX and Friends Saturday : FOXNEWS : October 29, 2011 6:00am-10:00am EDT"
520,"FOX News Sunday With Chris Wallace : FOXNEWS : November 6, 2011 2:00pm-3:00pm EST"
521,"The Live Desk : FOXNEWS : July 6, 2009 1:00pm-3:00pm EDT"
522,"The FOX Report With Shepard Smith : FOXNEWS : December 31, 2009 7:00pm-8:00pm EST"
523,"America's News HQ : FOXNEWS : July 17, 2010 12:00pm-2:00pm EDT"
524,"Bad Behavior Political Sex Scandals : FOXNEWS : June 10, 2011 5:00pm-5:59pm EDT"
525,"FOX and Friends : FOXNEWS : October 4, 2011 6:00am-9:00am EDT"
526,"FOX and Friends : FOXNEWS : October 13, 2011 6:00am-9:00am EDT"
527,"The FOX Report With Shepard Smith : FOXNEWS : November 2, 2011 7:00pm-8:00pm EDT"
528,"America's Election Headquarters : FOXNEWS : November 4, 2012 11:00pm-12:00am EST"
529,"The FOX Report With Shepard Smith : FOXNEWS : September 19, 2013 7:00pm-7:27pm EDT"
530,"America's News HQ : FOXNEWS : July 12, 2009 10:00am-10:30am EDT"
531,"The O'Reilly Factor : FOXNEWS : October 29, 2009 5:00am-6:00am EDT"
532,"Happening Now : FOXNEWS : March 23, 2010 11:00am-1:00pm EDT"
533,"Hannity : FOXNEWS : July 13, 2010 12:00am-1:00am EDT"
534,"America's News HQ : FOXNEWS : October 10, 2010 10:00am-12:00pm EDT"
535,"The O'Reilly Factor : FOXNEWS : January 21, 2011 5:00am-6:00am EST"
536,"America's Newsroom : FOXNEWS : April 8, 2011 9:00am-11:00am EDT"
537,"America's Newsroom : FOXNEWS : September 29, 2011 9:00am-11:00am EDT"
538,"Greta Van Susteren : FOXNEWS : October 18, 2011 10:00pm-11:00pm EDT"
539,"The Five : FOXNEWS : November 1, 2011 5:00pm-6:00pm EDT"
540,"Greta Van Susteren : FOXNEWS : July 3, 2009 1:15am-2:00am EDT"
541,"FOX and Friends Saturday : FOXNEWS : October 2, 2010 7:00am-10:00am EDT"
542,"Red Eye : FOXNEWS : April 8, 2011 3:00am-4:00am EDT"
543,"Hannity : FOXNEWS : April 12, 2011 9:00pm-10:00pm EDT"
544,"The O'Reilly Factor : FOXNEWS : October 26, 2011 11:00pm-12:00am EDT"
545,"Glenn Beck : FOXNEWS : September 30, 2009 5:00pm-6:00pm EDT"
546,"FOX and Friends : FOXNEWS : July 16, 2010 6:00am-9:00am EDT"
547,"Hannity : FOXNEWS : October 13, 2011 12:00am-1:00am EDT"
548,"Studio B With Shepard Smith : FOXNEWS : October 20, 2011 3:00pm-4:00pm EDT"
549,"FOX and Friends : FOXNEWS : July 21, 2009 6:00am-9:00am EDT"
550,"FOX and Friends : FOXNEWS : August 28, 2009 6:00am-9:00am EDT"
551,"FOX and Friends : FOXNEWS : April 12, 2010 6:00am-9:00am EDT"
552,"Studio B With Shepard Smith : FOXNEWS : April 5, 2011 3:00pm-4:00pm EDT"
553,"Your World With Neil Cavuto : FOXNEWS : October 10, 2011 4:00pm-5:00pm EDT"
554,"The Five : FOXNEWS : October 17, 2011 5:00pm-6:00pm EDT"
555,"Special Report With Bret Baier : FOXNEWS : November 4, 2011 4:00am-5:00am EDT"
556,"America's News HQ : FOXNEWS : July 18, 2009 12:00pm-1:59pm EDT"
557,"Geraldo at Large : FOXNEWS : September 13, 2009 1:00am-2:00am EDT"
558,"FOX and Friends Sunday : FOXNEWS : January 31, 2010 7:00am-10:00am EST"
559,"FOX and Friends Saturday : FOXNEWS : July 10, 2010 7:00am-10:00am EDT"
560,"FOX News Watch : FOXNEWS : August 28, 2010 2:30pm-3:00pm EDT"
561,"Geraldo at Large : FOXNEWS : December 11, 2010 10:00pm-11:00pm EST"
562,"The Journal Editorial Report : FOXNEWS : January 8, 2011 2:00pm-2:30pm EST"
563,"Cavuto on Business : FOXNEWS : October 1, 2011 10:30am-11:00am EDT"
564,"Happening Now : FOXNEWS : October 31, 2011 11:00am-1:00pm EDT"
565,"FOX and Friends : FOXNEWS : November 2, 2011 6:00am-9:00am EDT"
566,"Hannity : FOXNEWS : November 4, 2011 9:00pm-10:00pm EDT"
567,"America's News Headquarters : FOXNEWS : February 26, 2012 10:00am-12:00pm EST"
568,"Special Report With Bret Baier : FOXNEWS : November 3, 2011 4:00am-5:00am EDT"
569,"Studio B With Shepard Smith : FOXNEWS : November 4, 2011 3:00pm-4:00pm EDT"
570,"Studio B With Shepard Smith : FOXNEWS : November 8, 2011 3:00pm-4:00pm EST"
571,"FOX Report : FOXNEWS : November 1, 2009 7:00pm-8:00pm EST"
572,"The FOX Report With Shepard Smith : FOXNEWS : December 1, 2009 7:00pm-8:00pm EST"
573,"Special Report With Bret Baier : FOXNEWS : October 4, 2011 6:00pm-7:00pm EDT"
574,"Red Eye : FOXNEWS : November 4, 2011 3:00am-4:00am EDT"
575,"America Live : FOXNEWS : November 7, 2011 1:00pm-3:00pm EST"
576,"The O'Reilly Factor : FOXNEWS : July 16, 2013 4:00am-5:00am EDT"
577,"The FOX Report With Shepard Smith : FOXNEWS : August 31, 2010 7:00pm-8:00pm EDT"
578,"Studio B With Shepard Smith : FOXNEWS : November 2, 2010 2:00pm-3:00pm EST"
579,"Special Report With Bret Baier : FOXNEWS : October 18, 2011 6:00pm-7:00pm EDT"
580,"Glenn Beck : FOXNEWS : July 11, 2009 2:00am-3:00am EDT"
581,"The Live Desk : FOXNEWS : January 27, 2010 1:00pm-3:00pm EST"
582,"Happening Now : FOXNEWS : April 20, 2010 11:00am-1:00pm EDT"
583,"Hannity : FOXNEWS : September 2, 2010 9:00pm-10:00pm EDT"
584,"FOX News Sunday With Chris Wallace : FOXNEWS : October 16, 2011 2:00pm-3:00pm EDT"
585,"Stossel : FOXNEWS : October 23, 2011 1:00am-2:00am EDT"
586,"Studio B With Shepard Smith : FOXNEWS : October 27, 2011 3:00pm-4:00pm EDT"
587,"Happening Now : FOXNEWS : April 10, 2012 11:00am-1:00pm EDT"
588,"Glenn Beck : FOXNEWS : July 3, 2009 5:00pm-6:00pm EDT"
589,"Glenn Beck : FOXNEWS : July 5, 2009 5:00am-6:00am EDT"
590,"Geraldo at Large : FOXNEWS : July 5, 2009 10:00pm-11:00pm EDT"
591,"Happening Now : FOXNEWS : July 10, 2009 11:00am-1:00pm EDT"
592,"Happening Now : FOXNEWS : July 13, 2009 11:00am-1:00pm EDT"
593,"Happening Now : FOXNEWS : August 11, 2009 11:00am-1:00pm EDT"
594,"Special Report With Bret Baier : FOXNEWS : September 18, 2009 4:00am-5:00am EDT"
595,"The Live Desk : FOXNEWS : January 19, 2010 1:00pm-3:00pm EST"
596,"America's News HQ : FOXNEWS : April 11, 2010 12:00pm-2:00pm EDT"
597,"FOX Report : FOXNEWS : September 11, 2010 7:00pm-8:00pm EDT"
598,"Glenn Beck : FOXNEWS : November 3, 2010 4:00pm-5:00pm EST"
599,"Red Eye : FOXNEWS : November 19, 2010 3:00am-4:00am EST"
600,"Red Eye : FOXNEWS : December 31, 2010 3:00am-4:00am EST"
601,"Studio B With Shepard Smith : FOXNEWS : November 7, 2011 3:00pm-4:00pm EST"
602,"Red Eye : FOXNEWS : August 14, 2010 3:00am-4:00am EDT"
603,"Special Report With Bret Baier : FOXNEWS : April 8, 2011 6:00pm-7:00pm EDT"
604,"Special Report With Bret Baier : FOXNEWS : July 6, 2009 6:28pm-7:00pm EDT"
605,"Hannity : FOXNEWS : July 7, 2009 12:00am-1:00am EDT"
606,"Happening Now : FOXNEWS : October 9, 2009 11:00am-12:59pm EDT"
607,"Happening Now : FOXNEWS : April 2, 2010 11:00am-1:00pm EDT"
608,"FOX and Friends Sunday : FOXNEWS : September 12, 2010 7:00am-10:00am EDT"
609,"FOX News Watch : FOXNEWS : October 1, 2011 2:30pm-3:00pm EDT"
610,"FOX News Sunday With Chris Wallace : FOXNEWS : October 16, 2011 6:00pm-7:00pm EDT"
611,"The FOX Report With Shepard Smith : FOXNEWS : October 19, 2011 7:00pm-8:00pm EDT"
612,"America Live : FOXNEWS : October 24, 2011 1:00pm-3:00pm EDT"
613,"Bulls and Bears : FOXNEWS : October 29, 2011 10:00am-10:30am EDT"
614,"The O'Reilly Factor : FOXNEWS : October 31, 2011 8:00pm-9:00pm EDT"
615,"The O'Reilly Factor : FOXNEWS : November 2, 2011 11:00pm-12:00am EDT"
616,"The O'Reilly Factor : FOXNEWS : February 23, 2012 5:00am-6:00am EST"
617,"America's News HQ : FOXNEWS : July 4, 2009 6:00pm-7:00pm EDT"
618,"FOX and Friends : FOXNEWS : August 12, 2009 6:00am-9:00am EDT"
619,"America's Newsroom : FOXNEWS : January 26, 2010 9:00am-11:00am EST"
620,"FOX and Friends : FOXNEWS : August 26, 2010 6:00am-9:00am EDT"
621,"FOX Report : FOXNEWS : August 29, 2010 7:00pm-8:00pm EDT"
622,"Bulls and Bears : FOXNEWS : November 13, 2010 10:00am-10:30am EST"
623,"America Live : FOXNEWS : November 15, 2010 1:00pm-3:00pm EST"
624,"Glenn Beck : FOXNEWS : March 19, 2011 3:00pm-4:00pm EDT"
625,"The FOX Report With Shepard Smith : FOXNEWS : October 11, 2011 7:00pm-8:00pm EDT"
626,"Greta Van Susteren : FOXNEWS : October 12, 2011 10:00pm-11:00pm EDT"
627,"America's News HQ : FOXNEWS : July 26, 2009 4:00pm-6:00pm EDT"
628,"FOX and Friends Sunday : FOXNEWS : November 1, 2009 7:00am-10:00am EST"
629,"The FOX Report With Shepard Smith : FOXNEWS : November 2, 2009 7:00pm-8:00pm EST"
630,"FOX and Friends Saturday : FOXNEWS : January 16, 2010 7:00am-9:59am EST"
631,"America's News HQ : FOXNEWS : June 19, 2010 12:00pm-2:00pm EDT"
632,"FOX and Friends Sunday : FOXNEWS : August 1, 2010 7:00am-10:00am EDT"
633,"FOX and Friends Sunday : FOXNEWS : September 26, 2010 7:00am-10:00am EDT"
634,"The O'Reilly Factor : FOXNEWS : January 25, 2011 5:00am-6:00am EST"
635,"Hannity : FOXNEWS : April 29, 2011 12:00am-1:00am EDT"
636,"FOX and Friends : FOXNEWS : October 19, 2011 6:00am-9:00am EDT"
637,"FOX News Sunday With Chris Wallace : FOXNEWS : November 6, 2011 6:00pm-7:00pm EST"
638,"The O'Reilly Factor : FOXNEWS : September 22, 2009 5:00am-6:00am EDT"
639,"The Live Desk : FOXNEWS : October 6, 2009 1:00pm-3:00pm EDT"
640,"America's Newsroom : FOXNEWS : January 18, 2010 9:00am-11:00am EST"
641,"FOX Report : FOXNEWS : January 9, 2011 7:00pm-8:00pm EST"
642,"America Live : FOXNEWS : April 7, 2011 1:00pm-3:00pm EDT"
643,"Hannity : FOXNEWS : October 11, 2011 12:00am-1:00am EDT"
644,"Huckabee : FOXNEWS : October 16, 2011 11:00pm-12:00am EDT"
645,"The Five : FOXNEWS : October 22, 2011 3:00pm-4:00pm EDT"
646,"Greta Van Susteren : FOXNEWS : October 24, 2011 10:00pm-11:00pm EDT"
647,"FOX and Friends : FOXNEWS : October 28, 2011 6:00am-9:00am EDT"
648,"Red Eye : FOXNEWS : November 3, 2011 3:00am-4:00am EDT"
649,"The Five : FOXNEWS : November 6, 2011 1:00am-1:00am EDT"
650,"Red Eye : FOXNEWS : November 9, 2011 3:00am-4:00am EST"
651,"Hannity : FOXNEWS : July 4, 2009 12:00am-1:00am EDT"
652,"America's News HQ : FOXNEWS : July 5, 2009 4:00pm-6:00pm EDT"
653,"Hannity : FOXNEWS : October 6, 2009 9:00pm-10:00pm EDT"
654,"The FOX Report With Shepard Smith : FOXNEWS : April 11, 2011 7:00pm-8:00pm EDT"
655,"Studio B With Shepard Smith : FOXNEWS : October 6, 2011 3:00pm-4:00pm EDT"
656,"FOX and Friends : FOXNEWS : October 10, 2011 6:00am-9:00am EDT"
657,"The O'Reilly Factor : FOXNEWS : October 19, 2011 8:00pm-9:00pm EDT"
658,"The Five : FOXNEWS : November 7, 2011 5:00pm-6:00pm EST"
